station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,2017,15,25,3.2,7.7,7.2,8.3,466,768,0.3,3.2,0.22,0.91,11,21,26,79,2017,"Calendar Year (Jan - Dec), 2017"
3862,MARKANDA RIVER D/S OF SALANI KHAD,HIMACHAL PRADESH,2017,13,23,6.6,8.3,7.2,8.2,486,2361,0.1,0.3,0.3,0.96,12,17,24,34,2017,"Calendar Year (Jan - Dec), 2017"
3863,RAMPUR JATTAN MOGINAND NALA BEFORE CONFLUENCE TO RIVER MARKANDA NEAR RADHA SWAMI SATSANG BHAWAN,HIMACHAL PRADESH,2017,15,24,2.1,5.7,2.8,8,92,1980,10,160,0.14,3.12,12,350,46,920,2017,"Calendar Year (Jan - Dec), 2017"
3864,MARKANDA RIVER D/S OF MOGINAND NALA,HIMACHAL PRADESH,2017,13,24,6.4,7.3,6.9,8.3,482,987,0.1,0.6,0.2,0.87,10,17,25,33,2017,"Calendar Year (Jan - Dec), 2017"
2287,R ITHIKKARA AT ITHIKKARA,KERALA,2017,21,25,5.1,7.2,6.6,7.5,12230,16820,1.2,2.8,0.9,1.4,110,200,360,480,2017,"Calendar Year (Jan - Dec), 2017"
1444,"KALI AT D/S WEST COAST PAPER MILL (WCPM) ,",KARNATAKA,2017,26,28,6.8,7.8,6.8,7.8,60,100,2.3,6.5,0.04,0.8,35,550,140,1600,2017,"Calendar Year (Jan - Dec), 2017"
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,2017,27,33,6.2,6.7,6.7,7.8,126,366,2,4,0.4,1.48,8,94,27,540,2017,"Calendar Year (Jan - Dec), 2017"
1894,KUMARADHARA - U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,2017,28,33,6.2,6.7,6.7,7.8,116,163,1,4,0.11,2.3,8,94,79,920,2017,"Calendar Year (Jan - Dec), 2017"
2780,"KALI AT U/S OF WCPM, DANDELI,",KARNATAKA,2017,25,28,7.2,7.9,6.8,8.4,52,92,2.3,3,0.02,0.8,25,550,130,1800,2017,"Calendar Year (Jan - Dec), 2017"
3562,NETRAVATHI AT THUMBE WATER SUPPLY STATIONS TO MANGALORE CITY,KARNATAKA,2017,28,33,6.2,7,6.7,7.6,124,152,1,3,0.09,1.88,17,920,79,1600,2017,"Calendar Year (Jan - Dec), 2017"
3563,NETRAVATHI AT U/S OF UPIINGADY TOWN,KARNATAKA,2017,28,33,6,7,6.7,7.6,131,168,1,3,0.44,1.8,17,920,94,1600,2017,"Calendar Year (Jan - Dec), 2017"
17,PERIYAR NEAR ALWAYE-ELOOR,KERALA,2017,26,32.5,4.1,7,6.4,7.6,100,39410,0.5,4,0.08,1.94,600,6300,1380,7900,2017,"Calendar Year (Jan - Dec), 2017"
18,PERIYAR AT KALADY,KERALA,2017,26,29.7,4.7,7.8,6.4,7.6,30,63,0.8,1.8,0.08,0.55,400,5800,1160,17000,2017,"Calendar Year (Jan - Dec), 2017"
20,CHALIYAR AT KOOLIMADU,KERALA,2017,22,32,4.2,8,6.6,8.3,35,90,0,2.3,0.01,0.53,14,400,20,1280,2017,"Calendar Year (Jan - Dec), 2017"
21,CHALIYAR AT CHUNGAPALLY,KERALA,2017,25,32,4.6,8.7,6.5,7.8,55,41000,0.5,1.2,0.04,1.3,30,700,40,1680,2017,"Calendar Year (Jan - Dec), 2017"
