station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
1578,"KAYAMKULAM, KERALA",KERALA,2014,28,29,4,7.4,6.7,7.5,398,57300,0.5,4.5,0,0.2,80,1100,540,1600,2014,"Calendar Year (Jan - Dec), 2014"
1442,VAMANAPURAM,KERALA,2016,28,34,5.8,7.3,6.1,7.3,45,120,0.9,1.8,0,0,200,400,1000,1800,2016,"Calendar Year (Jan - Dec), 2016"
1577,"KODUNGALLOOR, KERALA",KERALA,2014,26,29.5,3.9,7.2,6.7,8.2,498,29900,0.4,2.9,0.1,1.9,93,890,110,1150,2014,"Calendar Year (Jan - Dec), 2014"
1576,"THEKKADY, KERALA",KERALA,2014,24,28,6.8,7.7,6.7,7.4,35,47,0.2,0.4,0,0.6,9,350,43,2100,2014,"Calendar Year (Jan - Dec), 2014"
1575,"KOCHI (OIL TANKER JETTY), KERALA",KERALA,2014,27.5,30.5,3,6.4,6.3,8.2,2947,46600,0.7,3.3,0.1,1.1,11,3300,57,3500,2014,"Calendar Year (Jan - Dec), 2014"
1574,"PARAVUR, KERALA",KERALA,2014,24,26,5.8,7.2,7.2,8,380,47730,1.2,3.6,1,3.6,31,350,79,920,2014,"Calendar Year (Jan - Dec), 2014"
1441,"ASHTHAMUDI LAKE AT QUILON, KERALA",KERALA,2014,23,25,4.3,6.6,7.1,7.9,30410,53960,1.2,2.8,1.1,3.5,49,540,220,1200,2014,"Calendar Year (Jan - Dec), 2014"
1385,"SASTHAMCOTTA LAKE, KERALA",KERALA,2014,25,26,5.2,7.8,7.1,7.8,79,190,1.2,1.8,0.1,1.5,21,350,63,800,2014,"Calendar Year (Jan - Dec), 2014"
1383,"ORUVATHILKOTTA LAKE, KERALA",KERALA,2014,24.5,26.5,2.9,6.6,6.5,7.8,180,850,0.5,6,0,0.8,220,700,1400,2100,2014,"Calendar Year (Jan - Dec), 2014"
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA, KARNATAKA",KARNATAKA,2014,23,28,3.2,5.2,6.2,8.6,296,850,3,5,0.3,0.8,2100,9400,11000,35000,2014,"Calendar Year (Jan - Dec), 2014"
1388,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,KARNATAKA",KARNATAKA,2014,28,29,5.7,8.4,7,9.7,308,366,6,16,0.3,7.3,46,540,600,1600,2014,"Calendar Year (Jan - Dec), 2014"
3086,"SAKI TANK, PATANCHERU,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,34,4.8,6.4,7.6,8.6,890,1964,1.8,3.2,2,5,12,32,162,248,2014,"Calendar Year (Jan - Dec), 2014"
3085,"CHINNA WADDEPALLY TANK,  WARANGAL, A.P.",ANDHRA PRADESH,2014,24,31,1,3.3,7.3,8.1,880,1361,18,52,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3084,"WADDEPALLY TANK, KAZIPET,  WARANGAL, A.P.",ANDHRA PRADESH,2014,26,30,2,6.7,7.1,8.2,445,590,4,36,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3078,"PRAGATHINAGAR CHERUVU, KUKATPALLY,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,31,1,3.2,7.5,8.2,1285,1770,18,52,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3077,"KAPRA CHERUVU, KAPRA,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,30,1,4.3,7.5,8,1375,1887,18,66,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3076,"AMBER CHERUVU, KUKATPALLY,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,32,1.2,3.1,7.5,8.1,1404,1729,24,54,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3075,"RANGADHAMUNI CHERUVU,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,30,0,5.8,7.5,8.4,1297,1670,32,84,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3074,"BANJARA LAKE, BANJARA HILLS,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,30,0,3.4,7.1,7.9,858,1102,12,45,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3073,"HASMATHPET LAKE, HASMATHPET,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,30,0,3.2,7.4,8.1,1285,1785,29,56,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3072,"SAFILGUDA LAKE,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,26,31,0,1.4,7.3,8.1,1484,1647,32,80,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3071,"LANGARHOUSE LAKE, HYDERABAD",ANDHRA PRADESH,2014,26,30,1.2,4.5,7.4,8.2,955,1315,12,52,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3070,"FOX SAGAR, JEEDIMETLA,  RANGA REDDY, A.P.",ANDHRA PRADESH,2014,25,30,1,6,7.6,8.2,1770,2307,41,70,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3069,"SHAMEERPET LAKE, SHAMEERPET, RANGA REDDY, A.P.",ANDHRA PRADESH,2014,25,30,1.6,6.2,7.6,8.1,412,686,5,34,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3068,"RAMAPPA LAKE,  WARANGAL, A.P.",ANDHRA PRADESH,2014,25,32,2.8,6.9,7.8,8.3,212,540,5,14,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2359,PEDDA CHEVURU,ANDHRA PRADESH,2014,0,30,0,2.1,7.2,7.9,2156,2638,26,76,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2358,MALLAPUR TANK,ANDHRA PRADESH,2014,0,31,0,0.9,7.5,8.1,1678,2029,34,110,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2357,DURGAM CHEVURU,ANDHRA PRADESH,2014,0,30,0,1.5,7.2,8.1,1375,2022,28,60,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2353,"KONDACHARLA-AAVA LAKE,PARAWADA PHARMA CITY,VISHAKHAPATNAM",ANDHRA PRADESH,2014,22,28,5.2,6,7.3,7.9,386,888,1,1,0.2,1.8,3,14,460,2400,2014,"Calendar Year (Jan - Dec), 2014"
2348,"KAJIPALLY TANK,KAJIPALLY,MEDAK",ANDHRA PRADESH,2014,25,38,0,0,7.5,8.5,3810,14940,14,210,3,27,12,48,190,270,2014,"Calendar Year (Jan - Dec), 2014"
2347,"ASANI KUNTA,KAJIPALLY,MEDAK",ANDHRA PRADESH,2014,26,38,0,0,6.9,8.4,5940,17320,72,120,16,52,24,40,192,280,2014,"Calendar Year (Jan - Dec), 2014"
2346,"BHADRAKALI CHEVURU, BHADRAKALI TEMPLE, WARANGAL",ANDHRA PRADESH,2014,0,30,2.6,6.8,7.1,8.4,426,549,2,16,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2345,"SAI CHEVURU, NEAR TANNERY INDUSTRIES, DESAIPET, WARANGAL",ANDHRA PRADESH,2014,0,31,0,0,6.6,7.7,7566,28810,100,760,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2343,"PREMAJIPET TANK, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,2014,0,30,0,1.7,6,8.3,2014,13050,45,320,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2342,"NOOR MD. KUNTA, KATTEDAN, RANGAREDDY",ANDHRA PRADESH,2014,0,30,0,0,7.5,7.8,2352,2690,24,106,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",ANDHRA PRADESH,2014,0,30,0,5.5,7.5,8.2,1222,1533,19,62,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2340,"LAXMINARAYANA CHEVURU AT EDULABAD,RANGAREDDY",ANDHRA PRADESH,2014,0,29,1,3.9,7.3,8.2,1308,1757,16,110,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1790,"PULICATE LAKE ,  NELLORE DIST., A.P",ANDHRA PRADESH,2014,19,31,5.1,6.6,7.5,8.3,34200,46900,0.5,1,0.9,1.8,2,2,400,400,2014,"Calendar Year (Jan - Dec), 2014"
1789,"HIMAYAT SAGAR LAKE , R.R.DIST., A.P",ANDHRA PRADESH,2014,0,30,5.2,7.2,7.6,8.5,389,444,4,8,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1788,"SAROONAGAR , RANGA REDDY DIST., A.P",ANDHRA PRADESH,2014,0,30,0,2.8,7.1,7.6,1440,1721,42,96,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1783,"KISTAREDDYPET TANK , MEDAK DIST., A.P",ANDHRA PRADESH,2014,26,36,0,2.4,7.5,8.3,4100,8130,36,218,10,47,30,38,216,320,2014,"Calendar Year (Jan - Dec), 2014"
1780,"GANDIGUDEM ,MEDAK DISTRICT, A.P",ANDHRA PRADESH,2014,24,38,3.2,5.4,7.7,8.4,2386,5080,1.8,68,5,10,10,24,180,188,2014,"Calendar Year (Jan - Dec), 2014"
1464,"BIBINAGAR TANK, A.P.",ANDHRA PRADESH,2014,25,34,5.2,6.8,7.6,8.5,963,2645,1.8,2.4,1,6,16,24,140,258,2014,"Calendar Year (Jan - Dec), 2014"
1447,"DHARMASAGAR TANK NEAR WARANGAL, A.P.",ANDHRA PRADESH,2014,0,30,2.4,7.8,7.1,8.4,296,481,4,18,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1391,"HUSSAIN SAGAR LAKE, BUDAMERU,A.P.",ANDHRA PRADESH,2014,0,30,0,2.6,7.3,7.9,1330,1900,30,65,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1396,"OSTERI LAKE, PONDICHERRY",PONDICHERRY,2014,26,32,8.5,9.6,7.8,8.5,404,580,4,14,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2539,BELBONI LAKE NEAR BARJORA,WEST BENGAL,2014,19,37.5,6.6,9.2,7,8.4,147,224,1,3.7,0.1,0.2,200,9000,400,14000,2014,"Calendar Year (Jan - Dec), 2014"
2544,SAHEBBANDH AT PURULIA,WEST BENGAL,2014,14,33,5.3,11.7,6.7,8.3,18,453,1,10.7,0.1,0.7,140,90000,800,160000,2014,"Calendar Year (Jan - Dec), 2014"
2344,"NALLA CHEVURU,RANGAREDDY",ANDHRA PRADESH,2014,0,30,0,1.8,7.1,8.2,1326,1788,26,58,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2650,KHAZIAR LAKE,HIMACHAL PRADESH,2014,7,20,5.7,7.5,6.6,8.6,51,508,3,65,0.2,0.9,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3437,BHEEMTAL LAKE,UTTARAKHAND,2014,11,21,7.4,8.2,7.4,7.9,180,230,1,1.8,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2522,SINCHAL LAKE FOR DARJEELING,WEST BENGAL,2014,3,22,7.2,8.8,6.8,7.3,13,55,1.2,2.2,0,0.3,110,1400,170,3400,2014,"Calendar Year (Jan - Dec), 2014"
2521,WATER RESERVIOR AT DELO,WEST BENGAL,2014,10,25,7.2,8.2,7,7.4,12,66,1.1,2.5,0.1,0.5,120,1200,700,8000,2014,"Calendar Year (Jan - Dec), 2014"
2520,MIRIKH LAKE,WEST BENGAL,2014,5,30,5.4,7.5,6.6,7.9,80,164,1.6,4.2,0,1,1200,13000,7000,23000,2014,"Calendar Year (Jan - Dec), 2014"
2519,KOCHBIHAR LAKE (SAGAR DIGHI),WEST BENGAL,2014,22,33,6.8,8.7,7,7.9,53,179,1.8,4.5,0,0.7,1100,9000,5000,14000,2014,"Calendar Year (Jan - Dec), 2014"
2505,HUNUMAN GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,2014,17,36.5,3.3,18.4,7.7,8.9,211,866,4.5,17,0,1.2,2000,240000,4000,300000,2014,"Calendar Year (Jan - Dec), 2014"
2504,MAINH GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,2014,17,37,0.5,14.9,7.7,8.7,425,872,4.6,18.9,0,1,2000,800000,4000,1300000,2014,"Calendar Year (Jan - Dec), 2014"
2503,HATISHALA GHAT ON DUDHPUKUR AT TARAKESHWAR,WEST BENGAL,2014,17,37,3.8,20.4,6.8,8.9,720,8760,1.7,17.4,0,1.2,2000,280000,4000,350000,2014,"Calendar Year (Jan - Dec), 2014"
1776,"GARIA CALCUTTA, WEST BENGAL",WEST BENGAL,2014,28,35,,,8,8.2,726,814,0.4,1,0.6,0.8,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1765,"RABINDRASAROVAR NATIONAL LAKE, CALCUTTA, WEST BENGAL",WEST BENGAL,2014,18,35,6.2,12.2,7.4,9.9,136,338,2.5,9.1,0,0.2,2000,30000,4000,160000,2014,"Calendar Year (Jan - Dec), 2014"
2436,PARVATI SAGAR ( RILIGIOUS POND OF PURI CITY),ODISHA,2014,18,39,2.9,12.4,7.5,8.6,371,989,6,27.8,0.5,3.7,310,35000,3500,92000,2014,"Calendar Year (Jan - Dec), 2014"
2435,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),ODISHA,2014,20,39,1.3,19.5,7.4,8.7,972,1481,3.1,15.9,0.4,9.2,130,17000,210,35000,2014,"Calendar Year (Jan - Dec), 2014"
2434,INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),ODISHA,2014,16,34,4.6,9.2,8,8.7,498,973,2.2,8.4,0.5,3,230,16000,490,24000,2014,"Calendar Year (Jan - Dec), 2014"
2433,MARKANDA POKHARI ( RILIGIOUS POND OF PURI CITY),ODISHA,2014,20,39,3.9,19.2,7.6,10.4,545,982,3.2,13.8,0.3,9.4,45,24000,230,35000,2014,"Calendar Year (Jan - Dec), 2014"
2432,NARENDRA POKHARI ( RILIGIOUS POND OF PURI CITY),ODISHA,2014,18,35,2.5,16.7,7.4,9.8,583,1371,4.6,21.2,0.4,4.7,78,24000,230,35000,2014,"Calendar Year (Jan - Dec), 2014"
2431,BINDUSAGAR ( RELIGIOUS POND OF BHUBANESWAR CITY),ODISHA,2014,23,33,1.4,13.4,7.1,9.6,318,521,1,4.9,0.2,7.4,330,160000,3300,160000,2014,"Calendar Year (Jan - Dec), 2014"
2438,ANSHUPA,ODISHA,2014,23,38,3.4,9.7,5.9,8.1,114,258,1,8.7,0.2,5.3,490,160000,1300,160000,2014,"Calendar Year (Jan - Dec), 2014"
2437,CHILKA LAKE (RAMSAR SITE),ODISHA,2014,20,35,5.2,8.4,7.8,8.4,1898,60670,0.9,3.6,0.2,1.9,78,5400,130,9200,2014,"Calendar Year (Jan - Dec), 2014"
2574,SURAJ KUND AT GAYA,BIHAR,2014,16,29,6.8,7.1,7.5,7.8,358,945,2.6,2.8,0,0,1300,3000,3500,16000,2014,"Calendar Year (Jan - Dec), 2014"
2573,TIGHI TALAB AT GAYA,BIHAR,2014,15.6,28,7,7.2,7.4,7.8,358,895,2.5,2.7,0,0,1400,2400,3500,9000,2014,"Calendar Year (Jan - Dec), 2014"
2571,MOTI JHEEL AT MOTIHARII,BIHAR,2014,15,36,7,8.9,7.1,9.3,410,1200,2.6,2.8,0,0,500,1700,1400,5400,2014,"Calendar Year (Jan - Dec), 2014"
1728,"RUDRASAGAR, SONUMURA, TRIPURA",TRIPURA,2014,26,28,6.6,6.9,7.6,8.2,256,276,3.2,3.5,0.7,1,480,580,520,620,2014,"Calendar Year (Jan - Dec), 2014"
1727,"LAXMI NARAYAN BARI PALACE COMPOUND, TRIPURA",TRIPURA,2014,26,28,6.4,6.8,7.7,7.9,230,250,3.2,3.6,1,1.4,400,440,460,540,2014,"Calendar Year (Jan - Dec), 2014"
3349,TASEK LAKE AT SONGSAK,MEGHALAYA,2014,16,30,6.8,7.8,7.1,7.8,45,95,1.4,2.3,0.4,6.8,10,31,22,67,2014,"Calendar Year (Jan - Dec), 2014"
1459,"THADLASKEIN LAKE, MEGHALAYA",MEGHALAYA,2014,12,25,6.8,7.6,6.5,7.1,34,60,1.8,2.5,0.3,2.5,22,38,47,79,2014,"Calendar Year (Jan - Dec), 2014"
1348,"WARD LAKE AT SHILONG EAST,KHASI HILL DT., MEGHALAYA",MEGHALAYA,2014,14,24,5.4,10,6.9,7.5,150,215,7.3,10.5,2.7,8.85,1400,3500,3000,5000,2014,"Calendar Year (Jan - Dec), 2014"
3348,UMIAM LAKE NEAR UNITED CHRISTIAN COLLEGE,MEGHALAYA,2014,15,27,5.2,6.8,7,7.5,94,178,7.5,10.5,3.2,8.2,1400,3300,2800,4800,2014,"Calendar Year (Jan - Dec), 2014"
3347,UMIAM LAKE MIDDLE POINT,MEGHALAYA,2014,14,26,5.4,7.2,6.9,7.5,95,175,6.8,10.2,2.7,7.7,1400,3300,2800,4800,2014,"Calendar Year (Jan - Dec), 2014"
3346,UMIAM LAKE AT OUTFALL OF UMIAM RIVER,MEGHALAYA,2014,14,25,3.2,6,6.8,7.5,140,262,9,13.8,4.8,18.7,2200,4500,3700,5900,2014,"Calendar Year (Jan - Dec), 2014"
1347,"UMIAM LAKE AT BARAPANI, MEGHALAYA",MEGHALAYA,2014,12,25,5,6.8,6.8,7.5,125,190,8.7,10.8,4,8.07,2400,3500,3500,5400,2014,"Calendar Year (Jan - Dec), 2014"
1532,"GOYSAGAR TANK, SIBSAGAR, ASSAM",ASSAM,2014,20,33,5.8,7.5,6.1,7,20,46,1.8,2.6,0.2,1.3,0,1100,0,240000,2014,"Calendar Year (Jan - Dec), 2014"
2228,GALA BEEL AT DERGAON,ASSAM,2014,20,28,4.2,12.2,6.2,7.3,71,307,0.7,2.3,0.4,4.3,0,1100,0,21000,2014,"Calendar Year (Jan - Dec), 2014"
2227,"HORDAI PUKHURI, CHARAIDEW",ASSAM,2014,23,31,6.2,7.2,5.8,6.6,20,54,0.6,3.3,0.3,0.7,0,4300,0,46000,2014,"Calendar Year (Jan - Dec), 2014"
2226,SIVASAGAR TANK (BORPUKHURI) NEAR SIVADOL,ASSAM,2014,18,30,5.3,6.8,5.4,7.4,20,314,0.7,4.8,0.4,2.4,0,15000,360,110000,2014,"Calendar Year (Jan - Dec), 2014"
1716,"NAKKI LAKE, MT. ABU, RAJASTHAN",RAJASTHAN,2014,14,25,4.8,9.2,7.1,8.9,220,300,0.4,1.1,0.3,0.6,4,4,4,460,2014,"Calendar Year (Jan - Dec), 2014"
2225,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI",ASSAM,2014,10.5,20,5.8,6.4,6.2,7.1,124,540,0.6,2.3,0.3,5.5,0,3900,300,240000,2014,"Calendar Year (Jan - Dec), 2014"
2224,RAJAPUKHURI AT GAURIPUR,ASSAM,2014,23,33.5,4.7,6,6.4,7.6,59,289,4.8,5.8,1.4,1.9,0,360,730,1600,2014,"Calendar Year (Jan - Dec), 2014"
2223,MAHAMAYA MANDIR PUKHURI,ASSAM,2014,22,32.5,5,6,6.4,7.2,52,159,3.6,4.6,0.2,3.1,0,910,730,29000,2014,"Calendar Year (Jan - Dec), 2014"
2222,RAJADINIA PUKHURI AT ABHAYAPURI,ASSAM,2014,19,34,4.9,6.5,6.7,7.7,24,38,1.1,1.9,0,1.1,0,360,360,730,2014,"Calendar Year (Jan - Dec), 2014"
2221,"GANGA PUKHURI, NALBARI (GORDON SCHOOL)",ASSAM,2014,23,35,6,12.1,6.4,7.6,64,107,2.1,6.6,0.6,6.9,730,2700,731,12000,2014,"Calendar Year (Jan - Dec), 2014"
2220,"CHAND DUBI BEEL, CHAND DUBI",ASSAM,2014,24,38,5.4,8.7,5.8,7.5,38,48,0.4,2.3,0.3,1.5,0,1500,360,9300,2014,"Calendar Year (Jan - Dec), 2014"
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO",ASSAM,2014,22,33,7.5,11,7.5,8.7,254,651,3.4,5.8,0.6,7.9,730,29000,12000,240000,2014,"Calendar Year (Jan - Dec), 2014"
2218,"DEEPAR BEEL AT BORAGAON NEAR IASST, GUWAHATI",ASSAM,2014,14,31,1,30,6.1,7.6,283,845,2,21,2.3,8.4,1100,15000,4400,46000,2014,"Calendar Year (Jan - Dec), 2014"
2217,"SUBHAGYA KUNDA POND KAMAKHYA TEMPLE, GUWAHATI",ASSAM,2014,21,29,3.5,11,6.6,7.2,658,740,3.6,5,3,13.8,0,15000,0,240000,2014,"Calendar Year (Jan - Dec), 2014"
2216,"DIGHALI PUKHURI, GUWAHATI",ASSAM,2014,21,31,8.4,16.8,8,8.8,235,380,1.4,20,1.1,4.7,0,1100,0,9300,2014,"Calendar Year (Jan - Dec), 2014"
2215,SARAN BEEL,ASSAM,2014,23,38,0,10.8,5.6,7.5,68,116,1.3,11,0.2,2.2,1100,2800,2301,240000,2014,"Calendar Year (Jan - Dec), 2014"
2214,"BOTODRIVA SATRA POND, NAGAON",ASSAM,2014,21,32,6,9.3,6.1,7.2,55,87,2.6,6,0.7,3.1,360,7500,361,110000,2014,"Calendar Year (Jan - Dec), 2014"
2213,"JAIPAL PUKHURI, SIPAJHAR",ASSAM,2014,16,30,7,8.9,6.3,8.6,47,247,1.9,6,0.4,1.7,360,2300,361,4300,2014,"Calendar Year (Jan - Dec), 2014"
2212,"GOPHUR TANK, GOPHUR",ASSAM,2014,19,30,7.5,8.9,6.5,7.7,82,203,1.4,3.4,0.2,5.4,0,360,360,361,2014,"Calendar Year (Jan - Dec), 2014"
2211,"PADUMPUKHURI, TEZPUR",ASSAM,2014,20,30,6.7,8.9,6.6,7.3,166,699,1.3,8.6,1.3,9.9,0,360,0,910,2014,"Calendar Year (Jan - Dec), 2014"
2210,"RAJMAW PUKHURI, JORHAT",ASSAM,2014,17.4,29,5.6,6.9,6.3,7.1,41,154,1,3.9,0.2,2.1,0,4400,730,110000,2014,"Calendar Year (Jan - Dec), 2014"
2209,"GAURISAGAR TANK, GAURISAGAR",ASSAM,2014,18,33,6.4,7.9,6,7.5,22,57,1.2,4.8,0.1,1,0,360,0,240000,2014,"Calendar Year (Jan - Dec), 2014"
2208,"BORPUKHURI, NAZIRA",ASSAM,2014,21,32,7.1,7.6,6,6.8,34,59,1.7,2.8,0.2,0.8,0,46000,0,46001,2014,"Calendar Year (Jan - Dec), 2014"
2207,BOR BEEL AT JAKAI.,ASSAM,2014,20,23,5.1,8.5,5.6,6.5,27,155,1.7,4.1,0.6,1.8,0,1100,1400,21000,2014,"Calendar Year (Jan - Dec), 2014"
1263,"ELANGABEEL SYSTEM POND (CONNECTED TO R. KOLANG), ASSAM",ASSAM,2014,22,38,0,2.8,6.7,10.5,1285,2980,17,50,3.2,29.1,0,4300,0,240000,2014,"Calendar Year (Jan - Dec), 2014"
2206,DALONI BEEL NEAR JOGIGHOPA,ASSAM,2014,18.5,32,5.5,7,6.6,7.1,103,238,0.8,2.1,0.1,1.9,0,0,0,2800,2014,"Calendar Year (Jan - Dec), 2014"
2205,MER BEEL AT MADHABPUR,ASSAM,2014,21,25,5.2,7.5,6.1,6.9,87,163,1.4,10.8,1.3,8.5,0,2300,0,240000,2014,"Calendar Year (Jan - Dec), 2014"
1362,"NAINI LAKE AT NAINITAL (WATER INTAKE POINT), U.P.",UTTARAKHAND,2014,9,20,7,7.8,7.6,8.1,430,490,1.2,1.8,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2501,"LAXMI POND, JHANSI",UTTAR PRADESH,2014,16.9,32.8,2.5,2.5,7.3,8.2,1020,1286,31,65,0,0,7900,9400,24000,35000,2014,"Calendar Year (Jan - Dec), 2014"
2500,"MAAHIL POND, URAI TEHSIL, JALAUN",UTTAR PRADESH,2014,16.7,33.2,1.2,3.2,8.2,9.2,1445,2300,24,40,0,0,7000,9400,17000,35000,2014,"Calendar Year (Jan - Dec), 2014"
2499,"SAMARPUR JHEEL, RAEBARELI",UTTAR PRADESH,2014,18,30,4.5,5.6,8.3,8.5,422,501,4.5,5.6,1.2,1.4,6200,7000,8800,9200,2014,"Calendar Year (Jan - Dec), 2014"
1364,"RAMGARH LAKE, U.P.",UTTAR PRADESH,2014,13,27,7.8,8.8,8,8.3,524,814,4.1,6.4,1,3.9,430,1400,940,3000,2014,"Calendar Year (Jan - Dec), 2014"
1382,"HARIKE LAKE D/S FROM CANAL, PUNJAB",PUNJAB,2014,12,23,6.7,6.8,7.3,7.5,270,290,1.2,1.6,1,4.2,100,130,350,700,2014,"Calendar Year (Jan - Dec), 2014"
3262,"DAL LAKE AT NIGEEN, WATER INTAKE PT OF POKHRIBAL WATER TREATMENT PLANT",JAMMU & KASHMIR,2014,6.5,25.3,4.8,9.8,7.6,8.6,158,442,2.7,5.6,0.5,2.3,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1309,"DAL LAKE AT SRINAGAR, J&K",JAMMU & KASHMIR,2014,6,22,5,9.3,7,8.1,106,326,1.9,2.6,0.3,3.41,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2649,RIWALSAR LAKE,HIMACHAL PRADESH,2014,,27,2.2,7.6,6.9,8.5,83,285,1.8,39.5,0,1.3,46,1600,350,2400,2014,"Calendar Year (Jan - Dec), 2014"
1429,"RENUKA LAKE , 35 KM FROM PATNA SAHIB NORTH , H.P",HIMACHAL PRADESH,2014,14,30,2.8,6.7,6.4,9.1,163,671,1.6,3,0.1,0.7,9,26,18,46,2014,"Calendar Year (Jan - Dec), 2014"
1292,"PONGDAM LAKE AT PONG VILLAGE,H.P.",HIMACHAL PRADESH,2014,14,29,6.8,8.9,6.8,9.3,168,247,0.2,1.8,0.1,1.04,,,,,2014,"Calendar Year (Jan - Dec), 2014"
1291,"GOBINDSAGAR LAKE AT BILASPUR, H.P.",HIMACHAL PRADESH,2014,8,25,8.7,9.7,7.8,8.6,94,425,0.1,0.7,0,1.823,33,140,130,540,2014,"Calendar Year (Jan - Dec), 2014"
2944,"JALMAHAL, JAIPUR, RAJASTHAN",RAJASTHAN,2014,13,29,2,5.6,8.4,8.9,1810,2400,4.2,7.8,0.6,1.4,4,21,93,1100,2014,"Calendar Year (Jan - Dec), 2014"
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA, RAJASTHAN",RAJASTHAN,2014,17,31,2.5,5.9,6.9,8.1,820,1180,1.2,8.7,0.5,2.4,4,14,9,1100,2014,"Calendar Year (Jan - Dec), 2014"
2940,"GAPE- SAGAR LAKE, DUNGARPUR, RAJASTHAN",RAJASTHAN,2014,10,28,3,8.1,7.8,9.2,490,680,0.8,5.3,0.6,1,4,14,4,460,2014,"Calendar Year (Jan - Dec), 2014"
2939,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 2, RAJSAMAND, RAJASTHAN",RAJASTHAN,2014,19,29,4.6,6.8,8.4,9,570,860,0.6,1.3,0.4,1,4,4,4,20,2014,"Calendar Year (Jan - Dec), 2014"
2938,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 1, RAJSAMAND, RAJASTHAN",RAJASTHAN,2014,19,29,4.6,6.6,8.4,8.8,560,750,0.8,1.7,0.5,1,4,4,4,28,2014,"Calendar Year (Jan - Dec), 2014"
