station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
3073,"HASMATHPETLAKE,HASMATHPET,RANGAREDDY",LAKE,2016,TELANGANA,24,30,0.5,4.8,7.1,8.1,934,1599,7,30,0,4.6,30,60,265,500,2016,"Calendar Year (Jan - Dec), 2016"
3074,"BANJARALAKE,BANJARAHILLS,RANGAREDD",LAKE,2016,TELANGANA,24,30,0.5,1.9,6.6,7.9,988,1356,14,24,0,1.6,40,100,274,395,2016,"Calendar Year (Jan - Dec), 2016"
2344,"NALLACHEVURU,RANGAREDDY",POND,2016,TELANGANA,24,28,0,1.1,6.7,8,1104,1840,12,38,0,42.3,80,155,450,1225,2016,"Calendar Year (Jan - Dec), 2016"
2345,"SAICHEVURU,NEARTANNERYINDUSTRIES,DESAIPET,WARANGAL",POND,2016,TELANGANA,19,29,0,1.2,6.6,8.1,5350,47800,110,990,0,103,25,55,220,320,2016,"Calendar Year (Jan - Dec), 2016"
2346,"BHADRAKALICHEVURU,BHADRAKALITEMPLE,WARANGAL",POND,2016,TELANGANA,18,28,5.1,6.1,7,8.6,328,602,2,8,0,24.2,42,110,621,1250,2016,"Calendar Year (Jan - Dec), 2016"
2347,"ASANIKUNTA,KAJIPALLY,MEDAK",POND,2016,TELANGANA,23,31,0,0,6.7,7.7,3700,17860,101,258,1.4,49,13,75,160,395,2016,"Calendar Year (Jan - Dec), 2016"
2357,DURGAMCHEVURU,POND,2016,TELANGANA,24,28,0,2.3,7.3,8.3,1103,1752,8,35,0,21.8,50,160,250,1515,2016,"Calendar Year (Jan - Dec), 2016"
2359,PEDDACHEVURU,POND,2016,TELANGANA,25,28,0,1.8,7,8,1124,2490,15,29,0,24.6,48,75,212,600,2016,"Calendar Year (Jan - Dec), 2016"
3075,"RANGADHAMUNICHERUVU,RANGAREDDY",POND,2016,TELANGANA,24,28,1,3.6,7.4,7.9,678,1641,5,24,0,8,41,60,223,355,2016,"Calendar Year (Jan - Dec), 2016"
3076,"AMBERCHERUVU,KUKATPALLY,RANGAREDDY",POND,2016,TELANGANA,24,29,1,3.8,7,8,1010,2113,8,35,0,3.1,30,140,245,1310,2016,"Calendar Year (Jan - Dec), 2016"
3077,"KAPRACHERUVU,KAPRA,RANGAREDDY",POND,2016,TELANGANA,25,30,0.2,2.8,7.4,8.5,1044,1640,10,22,0,13.5,28,175,249,1280,2016,"Calendar Year (Jan - Dec), 2016"
3078,"PRAGATHINAGARCHERUVU,KUKATPALLY,RANGAREDDY",POND,2016,TELANGANA,24,29,0.6,4.3,7.2,8,1.4,1824,6,29,0,29.2,35,170,260,1300,2016,"Calendar Year (Jan - Dec), 2016"
1447,DHARMASAGARTANKNEARWARANGAL,TANK,2016,TELANGANA,20,29,5.8,6.6,7.1,8.5,226,480,2,5,0,9.4,18,110,255,985,2016,"Calendar Year (Jan - Dec), 2016"
1464,BIBINAGARTANK,TANK,2016,TELANGANA,21,26,4.8,6.1,7.7,9.4,262,350,3,3,0.1,6,25,30,110,120,2016,"Calendar Year (Jan - Dec), 2016"
1780,"GANDIGUDEM,MEDAKDISTRICT",TANK,2016,TELANGANA,24,30,6.8,7.6,7.2,8.3,1048,4025,3.9,8,1.9,20.5,23,75,180,229,2016,"Calendar Year (Jan - Dec), 2016"
2557,"KAWARLAKE,BEGUSARAI",LAKE,2016,BIHAR,25,30,6.6,7.9,7.2,7.7,251,341,2.6,2.9,0,0,1300,2200,4000,4900,2016,"Calendar Year (Jan - Dec), 2016"
2571,MOTIJHEELATMOTIHARII,LAKE,2016,BIHAR,16,33,5,8.6,7.4,8.7,257,997,2.6,3,0,0,800,2600,1700,4100,2016,"Calendar Year (Jan - Dec), 2016"
2573,TIGHITALABATGAYA,POND,2016,BIHAR,12,36,6.5,7.8,7.2,8.6,172,1920,2.4,26,0,0,800,3000,2400,9000,2016,"Calendar Year (Jan - Dec), 2016"
2574,SURAJKUNDATGAYA,POND,2016,BIHAR,12,36,6.3,65,7.5,8.1,178,924,2.6,3.1,0,0,800,5000,1700,16000,2016,"Calendar Year (Jan - Dec), 2016"
2343,"PREMAJIPETTANK,KATTEDAN,RANGAREDDY",TANK,2016,TELANGANA,25,30,0.8,1.9,2.9,8,3810,10610,20,50,0,6,40,95,250,490,2016,"Calendar Year (Jan - Dec), 2016"
2348,"KAJIPALLYTANK,KAJIPALLY,MEDAK",TANK,2016,TELANGANA,24,28,3.2,3.2,6.9,7.1,2746,3440,6,8,29,44.3,10,10,60,180,2016,"Calendar Year (Jan - Dec), 2016"
2358,MALLAPURTANK,TANK,2016,TELANGANA,24,29,0,1.2,6.7,8.1,1423,2165,14,49,0,48,40,91,310,1230,2016,"Calendar Year (Jan - Dec), 2016"
3084,"WADDEPALLYTANK,KAZIPET,WARANGAL",TANK,2016,TELANGANA,20,28,3.8,6.8,7,8.5,306,476,2,9,0,15.5,74,135,300,1000,2016,"Calendar Year (Jan - Dec), 2016"
3085,"CHINNAWADDEPALLYTANK,WARANGAL",TANK,2016,TELANGANA,15,32,1.8,5.3,7.3,8.2,815,2147,10,42,0,15.5,45,112,280,1300,2016,"Calendar Year (Jan - Dec), 2016"
3086,"SAKITANK,PATANCHERU,RANGAREDDY",TANK,2016,TELANGANA,24,30,5.6,7.9,7.5,8.7,900,3150,2,7,0.3,36,4,55,80,300,2016,"Calendar Year (Jan - Dec), 2016"
1727,LAXMINARAYANBARIPALACECOMPOUND,LAKE,2016,TRIPURA,26,28.5,6.3,8,7.6,8.1,158,252,2.1,3.8,0.7,1.5,220,360,350,480,2016,"Calendar Year (Jan - Dec), 2016"
1728,"RUDRASAGAR,SONUMURA",LAKE,2016,TRIPURA,26,29.5,6.3,7.5,7.2,8,143,253,2.7,3.7,0.4,0.9,200,480,350,560,2016,"Calendar Year (Jan - Dec), 2016"
3391,"DHAMBURLAKE,DHALAI",LAKE,2016,TRIPURA,26,28,6.4,7.9,6.9,7.6,82,97,2,3.5,0.9,1.7,220,280,350,400,2016,"Calendar Year (Jan - Dec), 2016"
3392,"SHIPAHIJALAPOND,WESTTRIPURA",POND,2016,TRIPURA,26,27.5,4,4.9,7.1,8.6,94,128,0.7,2.2,0.4,0.9,220,280,280,350,2016,"Calendar Year (Jan - Dec), 2016"
3393,"BRAMAKUNDAPOND,WESTTRIPURA",POND,2016,TRIPURA,26,28.5,5,5.9,7.1,8,133,184,1.3,3.1,0.5,1.1,200,240,350,430,2016,"Calendar Year (Jan - Dec), 2016"
3394,"KALYANSAGARATMATARBARI,SOUTHTRIPURA",POND,2016,TRIPURA,26,27,7.6,8.6,8.3,9.1,113,147,3.1,6.1,0.8,1.5,200,350,350,430,2016,"Calendar Year (Jan - Dec), 2016"
3963,RANIGUDAPOND,POND,2017,ODISHA,19,31,2.7,18,7.3,8.5,391,1144,2.9,35.8,0.86,5.73,2,16000,20,16000,2017,"Calendar Year (Jan - Dec), 2017"
3395,"MAHADEBDIGHI,SOUTHTRIPURA",POND,2016,TRIPURA,26,27.5,6.7,7.9,7.2,8.7,110,137,2.3,3.8,0.2,0.6,200,280,350,430,2016,"Calendar Year (Jan - Dec), 2016"
3396,"JAGANNATHDIGHI,SOUTHTRIPURA",POND,2016,TRIPURA,26,27,7.5,8.5,7.1,7.9,119,213,1.4,2.8,0.1,0.5,170,280,280,430,2016,"Calendar Year (Jan - Dec), 2016"
1364,RAMGARHLAKE,LAKE,2016,UTTARPRADESH,14,31,7.7,8.9,8,8.4,512,702,3.8,6.4,0.8,1.5,2200,7000,4900,11000,2016,"Calendar Year (Jan - Dec), 2016"
