station code,Station name,Type of water body,srcYear,srcStateName,Minimum temperature of water,Maximum temperature of water,Minimum dissolved oxygen.,Maximum dissolved oxygen.,Minimum potential of Hydrogen(Ph) values.,Maximum potential of Hydrogen(Ph) values.,Minimum conductivity required for water quality,Maximum conductivity required for water quality,Minimum biochemical oxygen demand (BOD) required for water quality,Maximum biochemical oxygen demand (BOD) required for water quality,Minimum  of Nitrate N + Nitrite N required,Maximum  of Nitrate N + Nitrite N required,Minimum  of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Maximum   of Faecal Coliforms(coliform bacteria is associated with faecal matter) .,Minimum coliform required for different water bodies,Maximum coliform required for different water bodies,YearCode,Year
3301,MOTITALABATBALAGHAT,POND,2017,MADHYAPRADESH,16,24,4.1,7.7,7.4,8.9,350,1384,1.9,5.8,0.3,3.4,2,150,46,1600,2017,"Calendar Year (Jan - Dec), 2017"
3300,"RANITALTALAB,JABALPUR",POND,2017,MADHYAPRADESH,19,24,3.7,7.8,6.5,8.2,320,765,3.2,5,0.3,11,10,220,63,1600,2017,"Calendar Year (Jan - Dec), 2017"
3299,HANUMANTALJABALPUR,POND,2017,MADHYAPRADESH,18,23,6.9,7.9,7.1,8.7,360,634,3.1,5.4,0.3,1.8,2,110,46,920,2017,"Calendar Year (Jan - Dec), 2017"
3298,PONDWATERATLAKODA,POND,2017,MADHYAPRADESH,24,24,7,8.2,7.5,7.9,280,522,2,3,0,2.34,4,12,34,80,2017,"Calendar Year (Jan - Dec), 2017"
3297,"MITHATALAB,DEWAS",POND,2017,MADHYAPRADESH,22,26,4.6,7,7.1,8,552,814,2.4,4.8,0.84,2.03,9,500,7,1600,2017,"Calendar Year (Jan - Dec), 2017"
3296,CHORALDAMNEARINDORE,LAKE,2017,MADHYAPRADESH,20,30,6.4,7.8,7.8,8.6,308,609,1,1.9,0,1.87,2,2,40,60,2017,"Calendar Year (Jan - Dec), 2017"
2142,"KALISINDHRESERVOIRATSARANGPUR,RAJGARH",LAKE,2017,MADHYAPRADESH,20,30.2,6.1,6.8,5.6,7.8,390,872,2,2.9,0,0,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2141,JANUNIATALABNEARW-S,LAKE,2017,MADHYAPRADESH,18,29,7.1,7.8,7.5,8.3,160,396,2.1,2.5,0,2.03,2,8,90,350,2017,"Calendar Year (Jan - Dec), 2017"
2140,"KERWADAMNEARRESTHOUSE,BPL",LAKE,2017,MADHYAPRADESH,6,30,6.9,8.1,7.6,8.5,193,278,1.2,2.5,0,0.4,2,2,34,210,2017,"Calendar Year (Jan - Dec), 2017"
2139,UPPERLAKEATBAIRAGARHCLUB,LAKE,2017,MADHYAPRADESH,17,29,7.3,8.8,7.8,8.6,228,293,1.5,2.7,0,2.06,2,2,90,1600,2017,"Calendar Year (Jan - Dec), 2017"
2138,UPPERLAKEATKARBALACLUB,LAKE,2017,MADHYAPRADESH,21,29,7.5,8.2,7.5,8.5,211,296,1.7,2.6,0,1.91,2,2,90,230,2017,"Calendar Year (Jan - Dec), 2017"
2137,UPPERLAKEATYATCHCLUB,LAKE,2017,MADHYAPRADESH,19,29,7.5,8.4,7.5,8.6,218,322,1.5,2.2,0,2.21,2,2,94,1600,2017,"Calendar Year (Jan - Dec), 2017"
2136,"SHAHPURALAKEATWEIRNEARAYUSHMANHOSPITAL,BHOPAL",LAKE,2017,MADHYAPRADESH,19,34,5.5,7.6,7.3,8.8,526,677,3.1,3.8,0,15.85,12,230,920,1600,2017,"Calendar Year (Jan - Dec), 2017"
2398,"DIMNALAKE,DIMNA",LAKE,2017,JHARKHAND,11.5,32,7.5,8.2,6.7,7.8,210,292,0.2,6.4,0.6,1.2,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2135,GOVINDGARHTANK,LAKE,2017,MADHYAPRADESH,24,32,6.5,7.4,7.2,7.7,0,522,1.2,1.8,1.55,5.86,2,17,21,70,2017,"Calendar Year (Jan - Dec), 2017"
2134,NAGCHUNTALABATKHANDWA,LAKE,2017,MADHYAPRADESH,21,32,6.4,7.7,7.2,8.8,294,557,1.4,2,0.78,1.61,2,2,40,90,2017,"Calendar Year (Jan - Dec), 2017"
2133,SIRPURTALABATINDORE,LAKE,2017,MADHYAPRADESH,19,32,3.9,7.8,7.7,8.9,330,644,1.2,4.4,0.89,1.9,2,2,23,90,2017,"Calendar Year (Jan - Dec), 2017"
2132,BILAWALITALABATINDORE,LAKE,2017,MADHYAPRADESH,19,32,4.6,7.2,7.3,8.4,371,840,1.2,2.8,0.43,5.24,2,40,40,140,2017,"Calendar Year (Jan - Dec), 2017"
2131,YASHWANTSAGARATINDORE,LAKE,2017,MADHYAPRADESH,19,32,4.8,7.9,7.5,8.7,499,1012,1.1,2.4,0.73,2.5,2,2,33,110,2017,"Calendar Year (Jan - Dec), 2017"
2130,"MADHAVLAKE,SHIVPURI",LAKE,2017,MADHYAPRADESH,23,31,6.1,7.3,7.5,8,410,740,1.8,2.9,0,0,,,,,2017,"Calendar Year (Jan - Dec), 2017"
2129,PERIATTANKJABALPUR,LAKE,2017,MADHYAPRADESH,18,21,6.3,7.8,7.2,8.4,173,466,0.8,2,0.3,0.97,2,10,21,48,2017,"Calendar Year (Jan - Dec), 2017"
2128,KHANDARIRESERVOIRWATEROFFTAKEPOINT,LAKE,2017,MADHYAPRADESH,18.8,21.5,7.2,7.8,7.1,8.4,142,414,0.7,3.1,0.3,0.92,2,15,17,46,2017,"Calendar Year (Jan - Dec), 2017"
1466,MULTAITANKLAKEATVILLA.KHARIONBETUL-AMRAVATIROADM.P.,LAKE,2017,MADHYAPRADESH,2.9,29,7.2,8.1,7.4,8.1,176,432,1.2,2.8,0,2.72,2,2,90,910,2017,"Calendar Year (Jan - Dec), 2017"
1374,LOWERLAKEATBHOPALOUTLETM.P.,LAKE,2017,MADHYAPRADESH,18,29,6.2,8.7,7.4,8.3,336,492,3.1,3.7,0,11.6,20,240,190,1600,2017,"Calendar Year (Jan - Dec), 2017"
1373,"UPPERLAKEATBHOPAL(INTAKEPOINT),M.P.",LAKE,2017,MADHYAPRADESH,18,29,7.5,8.3,7.6,8.4,223,292,1.5,19.9,0,3.82,2,2,90,1600,2017,"Calendar Year (Jan - Dec), 2017"
1401,"PONDNEARJUMAMASJID,LAKSHAWDEEP",POND,2017,LAKSHADWEEP,28.7,34.1,,,7.2,9.7,382,918,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
3347,"UMIAMLAKEATMIDDLEPOINT,RI-BHOI",LAKE,2017,MEGHALAYA,12,25,4.4,6.8,7.1,8.3,75,174,3.5,6.2,0.3,1.47,1100,3000,2400,4800,2017,"Calendar Year (Jan - Dec), 2017"
3462,MANANCHIRAPONDATKOZHEKODE,POND,2017,KERALA,21,32,5.5,8.2,7,8.2,77,110,0,1.8,0,0.31,2,500,2,900,2017,"Calendar Year (Jan - Dec), 2017"
2325,PONDAT(PADMANABHA)SREEPADMANABHASWAMYTEMPLE(TVPM),POND,2017,KERALA,30,33,5.9,6.8,6.6,8.3,79,210,1.3,2,0,0.5,110,270,320,510,2017,"Calendar Year (Jan - Dec), 2017"
3470,"VELLAYANILAKEATVANDITHADOM,THIRUVANANTHAPURAM",LAKE,2017,KERALA,30,33,5.9,7.1,6.2,6.8,98,217,0.5,2.2,0,0.05,220,460,620,940,2017,"Calendar Year (Jan - Dec), 2017"
2330,RSVRATEDAMALAYAR,LAKE,2017,KERALA,27,29.8,6.7,8,6.5,7.4,20,35,0.4,1.9,0.01,0.25,2,49000,17,79000,2017,"Calendar Year (Jan - Dec), 2017"
2329,RSVRATBHOOTHATHANKETU,LAKE,2017,KERALA,26,29.7,6.6,7.8,6.5,7.1,22,40,0.7,1.8,0.02,600.73,150,6300,4,7900,2017,"Calendar Year (Jan - Dec), 2017"
2318,PAZHASSIRESERVOIR(KANNUR),LAKE,2017,KERALA,24,32,5.5,8.7,6.5,7.6,35,6052,0.2,2.7,0.06,0.57,4,560,40,1340,2017,"Calendar Year (Jan - Dec), 2017"
2312,LAKEVEMBANADUATPATHIRAMANAL(ALAPPUZHA),LAKE,2017,KERALA,26,29.5,4.8,8.8,6.9,7.7,182,22810,0.7,3,0.05,0.3,100,220,200,360,2017,"Calendar Year (Jan - Dec), 2017"
1580,"POOKOTE,KERALA",LAKE,2017,KERALA,27.1,28.4,5.1,6.9,6.3,8,25,33,0.5,2.1,0.05,0.18,4,32,8,108,2017,"Calendar Year (Jan - Dec), 2017"
1579,"ALAPPUZHA,KERALA",LAKE,2017,KERALA,26,30,3.8,7.8,6.8,7.5,168,18500,1,6,0.05,0.5,140,340,240,640,2017,"Calendar Year (Jan - Dec), 2017"
1578,"KAYAMKULAM,KERALA",LAKE,2017,KERALA,28,29.5,3.2,7.8,7.2,7.8,1126,51200,0.9,4.1,0,0.58,100,400,240,630,2017,"Calendar Year (Jan - Dec), 2017"
1577,"KODUNGALLOOR,KERALA",LAKE,2017,KERALA,27,30,4.5,7,6.8,7.9,1655,55450,0.7,3.7,0.23,0.78,400,94000,470,120000,2017,"Calendar Year (Jan - Dec), 2017"
1576,"THEKKADY,KERALA",LAKE,2017,KERALA,26,28,1.5,7.4,6.7,7.5,34,81,0.1,0.4,0,2.35,2,800,2,2800,2017,"Calendar Year (Jan - Dec), 2017"
1790,"PULICATELAKE,NELLOREDIST.",LAKE,2017,ANDHRAPRADESH,27,28,5.1,6.9,7.1,8.5,3270,156600,1,2.3,0.65,6.9,2,2,800,1600,2017,"Calendar Year (Jan - Dec), 2017"
2353,"KONDACHARLA-AAVALAKE,PARAWADAPHARMACITY,VISHAKHAPATNAM,A.P",LAKE,2017,ANDHRAPRADESH,24,28,5.9,6.8,6.9,8.4,597,1034,1.3,2.3,1.16,3.36,11,29,350,2400,2017,"Calendar Year (Jan - Dec), 2017"
2205,"MERBEELATMADHABPUR,ASSAM",LAKE,2017,ASSAM,20,27,2.2,7.2,5.7,7,50,128,1,16.2,0.1,1.7,300,2000,360,6400,2017,"Calendar Year (Jan - Dec), 2017"
2206,"DALONIBEELNEARJOGIGHOPA,ASSAM",LAKE,2017,ASSAM,22,36,5.1,6,6.6,7.8,54,153,0.9,2.8,0.1,1.4,300,1200,300,5300,2017,"Calendar Year (Jan - Dec), 2017"
1263,"ELANGABEELSYSTEMPOND(CONNECTEDTOR.KOLANG),ASSAM",POND,2017,ASSAM,22,34,0.7,4.6,6.8,8.4,263,972,4.5,14.7,0.8,5.7,1100,3500,730,21000,2017,"Calendar Year (Jan - Dec), 2017"
2207,"BORBEELATJAKAI.,ASSAM",POND,2017,ASSAM,20,35,3.5,6.8,6.1,7.3,26,235,2.2,18.1,0.5,1.9,300,2100,360,29000,2017,"Calendar Year (Jan - Dec), 2017"
2208,"BORPUKHURI,NAZIRA,ASSAM",POND,2017,ASSAM,18,31,5,7.3,5.8,7.6,25,38,2,3.2,0.1,2.5,360,1500,300,15000,2017,"Calendar Year (Jan - Dec), 2017"
2209,"GAURISAGARTANK,GAURISAGAR,ASSAM",POND,2017,ASSAM,20,32,5.2,8.1,5.6,7.8,23,38,1.9,4.1,0.1,1.7,360,2800,360,21000,2017,"Calendar Year (Jan - Dec), 2017"
2330,RSVRATEDAMALAYAR,LAKE,2018,KERALA,26,31,5.7,8.3,6.5,7.2,22,35,0.3,2,0,0.3,20,1700,49,6300,2018,"Calendar Year (Jan - Dec), 2018"
2325,PONDAT(PADMANABHA)SREEPADMANABHASWAMYTEMPLE,POND,2018,KERALA,31,33,5.5,6.6,6.7,8.3,230,246,0.9,2,0,0,200,430,400,580,2018,"Calendar Year (Jan - Dec), 2018"
3462,MANANCHIRAPONDATKOZHEKODE,POND,2018,KERALA,27,32,3.3,9.7,6.5,8.3,67,126,0,2.3,0,1,2,1100,2,2800,2018,"Calendar Year (Jan - Dec), 2018"
1401,"PONDNEARJUMAMASJID,LAKSHAWDEEP",POND,2018,LAKSHADWEEP,28.5,30.7,,,6.4,8.6,370,917,,,0,0,,,,,2018,"Calendar Year (Jan - Dec), 2018"
1373,"UPPERLAKEATBHOPAL(INTAKEPOINT),M.P.",LAKE,2018,MADHYAPRADESH,19,31,6.4,9.5,7.6,8.3,3,335,1.1,5.2,1.4,4.6,2,170,110,1600,2018,"Calendar Year (Jan - Dec), 2018"
1374,LOWERLAKEATBHOPALOUTLETM.P.,LAKE,2018,MADHYAPRADESH,17,30,6,8.7,6.6,8.3,348,496,3,6.8,2.9,18,110,920,1600,2400,2018,"Calendar Year (Jan - Dec), 2018"
1466,MULTAITANKLAKEATVILLA.KHARIONBETULAMRAVATI,LAKE,2018,MADHYAPRADESH,16,27,7.8,8.4,7.5,8.5,211,528,1.4,4.3,0,7.3,2,2,120,1600,2018,"Calendar Year (Jan - Dec), 2018"
2130,"MADHAVLAKE,SHIVPURI",LAKE,2018,MADHYAPRADESH,12,42,5.1,8,7.6,8.4,292,930,1.5,2.8,1,4,2,10,13,150,2018,"Calendar Year (Jan - Dec), 2018"
2131,YASHWANTSAGARATINDORE,LAKE,2018,MADHYAPRADESH,20,30,5.2,8,7.2,8.7,492,817,1,2,0.7,3.1,2,2,40,94,2018,"Calendar Year (Jan - Dec), 2018"
2132,BILAWALITALABATINDORE,LAKE,2018,MADHYAPRADESH,20,30,4.9,8.2,7.3,8.8,368,810,1.2,2.6,0.8,7.2,2,2,5,130,2018,"Calendar Year (Jan - Dec), 2018"
2133,SIRPURTALABATINDORE,LAKE,2018,MADHYAPRADESH,20,30,5.3,7.8,7.8,8.8,450,804,1.2,2.8,0.6,2.7,2,2,24,110,2018,"Calendar Year (Jan - Dec), 2018"
2134,NAGCHUNTALABATKHANDWA,LAKE,2018,MADHYAPRADESH,23,29,4.6,7.8,7.7,8.9,290,674,0.8,2.6,0.9,2.7,2,2,6,94,2018,"Calendar Year (Jan - Dec), 2018"
2135,GOVINDGARHTANK,LAKE,2018,MADHYAPRADESH,19,31.5,6.3,7.7,7,7.8,,,0.8,1.8,0.4,2.7,2,6,21,60,2018,"Calendar Year (Jan - Dec), 2018"
2136,"SHAHPURALAKEATWEIRNEARAYUSHMANHOSPITAL,BHOP",LAKE,2018,MADHYAPRADESH,16,31,4.2,7.8,7.4,8.8,6,826,2.5,14,0.4,16.2,2,430,130,2400,2018,"Calendar Year (Jan - Dec), 2018"
2137,UPPERLAKEATYATCHCLUB,LAKE,2018,MADHYAPRADESH,18,31,6.1,8.4,6.7,8.3,138,526,1.3,2.9,0.9,6,2,280,28,1600,2018,"Calendar Year (Jan - Dec), 2018"
2138,UPPERLAKEATKARBALACLUB,LAKE,2018,MADHYAPRADESH,17,30,6.4,8.9,6.9,8.6,170,312,1.4,20,1.2,8.3,2,350,110,1600,2018,"Calendar Year (Jan - Dec), 2018"
2139,UPPERLAKEATBAIRAGARHCLUB,LAKE,2018,MADHYAPRADESH,16,31,6.5,9.2,7.2,8.6,170,528,1,2.9,1.6,5.3,2,920,110,1600,2018,"Calendar Year (Jan - Dec), 2018"
2140,"KERWADAMNEARRESTHOUSE,BPL",LAKE,2018,MADHYAPRADESH,20,31,6.7,8.9,7.5,8.3,94,285,0.7,10,0.9,9.1,2,2,24,150,2018,"Calendar Year (Jan - Dec), 2018"
2207,"BORBEELATJAKAI.,ASSAM",POND,2018,ASSAM,15,25,3,7.4,5.7,7.1,105,212,2.1,10,0.1,2.1,2,3500,360,24000,2018,"Calendar Year (Jan - Dec), 2018"
2141,JANUNIATALABNEARW/S,LAKE,2018,MADHYAPRADESH,14,31,2.2,8.4,7.7,8.3,318,427,2.1,2.8,1.6,7.6,2,350,110,1600,2018,"Calendar Year (Jan - Dec), 2018"
2142,"KALISINDHRESERVOIRATSARANGPUR,RAJGARH",LAKE,2018,MADHYAPRADESH,11,32,6.9,8,7.5,8.6,216,1014,1.2,2.1,0,3,2,2,23,43,2018,"Calendar Year (Jan - Dec), 2018"
3296,CHORALDAMNEARINDORE,LAKE,2018,MADHYAPRADESH,22,30,6.5,7.6,7.6,8.9,408,663,1,2,0,1.7,2,2,40,70,2018,"Calendar Year (Jan - Dec), 2018"
3297,"MITHATALAB,DEWAS",POND,2018,MADHYAPRADESH,20,24,6.2,6.9,7.5,8.4,552,708,3,5.4,0,3.8,6,3400,70,35000,2018,"Calendar Year (Jan - Dec), 2018"
3298,PONDWATERATLAKODA,POND,2018,MADHYAPRADESH,22,27,6.8,7.2,7.4,7.9,156,332,2,2.4,0.1,0.9,4,21,46,70,2018,"Calendar Year (Jan - Dec), 2018"
3299,HANUMANTALJABALPUR,POND,2018,MADHYAPRADESH,17.7,23,6.1,7.7,7.3,8.4,340,852,2.4,6,0.4,9.1,2,430,41,1600,2018,"Calendar Year (Jan - Dec), 2018"
3302,"PIPLIYAPALATALAB,INDORE",POND,2018,MADHYAPRADESH,20,29,4.1,7.9,7.3,8.5,480,1223,1.4,2.9,0,22.1,2,2,70,170,2018,"Calendar Year (Jan - Dec), 2018"
3303,"RANITALAB,REWA",POND,2018,MADHYAPRADESH,19.5,31.5,6.7,8.4,7,8.1,,,0.9,1.9,0.2,1.9,2,4,17,27,2018,"Calendar Year (Jan - Dec), 2018"
3304,"RIHANDRESRVOIR,SINGRAULI",POND,2018,MADHYAPRADESH,19,27,7,8.1,7.1,7.6,280,415,1.2,1.9,0,0.9,2,2,8,17,2018,"Calendar Year (Jan - Dec), 2018"
3830,"GOKALPURTALAB,DISTJABALPUR",POND,2018,MADHYAPRADESH,16.5,35,5.6,7.3,7.4,8.3,348,733,1.8,6.6,0.4,13,2,1600,47,1600,2018,"Calendar Year (Jan - Dec), 2018"
3849,SITAPATTALABDHAR,POND,2018,MADHYAPRADESH,21,30,6.5,8.2,7.8,8.9,283,899,1,1.6,0,1,2,2,40,60,2018,"Calendar Year (Jan - Dec), 2018"
3850,BAGDOONTALABPITHAMPUR,POND,2018,MADHYAPRADESH,17,29,5,8.2,7.6,8.6,280,942,1.2,2.3,0,1.8,2,2,48,170,2018,"Calendar Year (Jan - Dec), 2018"
1425,"LOKTAKLAKEATTHANA,MANIPUR",LAKE,2018,MANIPUR,18,29.8,4.6,9.1,6.5,7.8,118,518,1.2,5.2,0.03,0.04,,,20,240,2018,"Calendar Year (Jan - Dec), 2018"
1426,"LOKTAKLAKEATBISHNUPUR,MANIPUR",LAKE,2018,MANIPUR,17,29.8,3.2,9.7,7.1,7.7,109,542,0.1,5.8,0.03,0.05,,,10,55,2018,"Calendar Year (Jan - Dec), 2018"
1629,"SENDRA(LOKTAKLAKE),MANIPUR",LAKE,2018,MANIPUR,18.3,30.1,5.7,10.1,7.1,8.1,121,514,1.6,7.3,0.03,0.05,,,1,135,2018,"Calendar Year (Jan - Dec), 2018"
1630,"KARANGISLAND(LOKTAKLAKE),MANIPUR",LAKE,2018,MANIPUR,19,29.4,4.3,10.1,7,7.8,117,548,0.3,5.4,0.03,0.04,,,10,105,2018,"Calendar Year (Jan - Dec), 2018"
2837,"PUMLENLAKEATTOKPACHING,DISTT.THOUBAL,MANIPUR",LAKE,2018,MANIPUR,18,30.6,2.2,7.5,6.4,7.9,117,407,0.9,7.4,0.03,0.04,,,88,280,2018,"Calendar Year (Jan - Dec), 2018"
2839,"PUKHRIATLANGMEIDONG,DISTT.THOUBAL,MANIPUR",POND,2018,MANIPUR,19,31.1,6.3,10.3,6.8,8,170,738,0.7,6.3,0.03,0.04,,,35,75,2018,"Calendar Year (Jan - Dec), 2018"
2840,"LAMJAOPUKHURIATACHOUBA,DISTT.THOUBAL,MANIPUR",POND,2018,MANIPUR,18,30.8,7.2,10.3,7.1,8.3,127,909,1.3,5.5,0.03,0.05,,,55,90,2018,"Calendar Year (Jan - Dec), 2018"
2841,"HIRANMEIPUKHURIATTHOUBAL,MANIPUR",POND,2018,MANIPUR,19,30,3.8,8.9,6.3,7.9,148,1026,1.6,5.3,0.03,0.04,,,60,270,2018,"Calendar Year (Jan - Dec), 2018"
2842,"LANGMEIDONGPUKHURIATTHOUBAL,MANIPUR",POND,2018,MANIPUR,19,30.2,6.4,9.9,7.1,7.9,190,799,0.7,6.8,0.03,0.04,,,20,90,2018,"Calendar Year (Jan - Dec), 2018"
2843,"PONDATLALAMBUNG,IMPHALWEST,MANIPUR",POND,2018,MANIPUR,18,30.5,3.6,7.7,6.8,8.1,254,998,1.3,3.2,0.03,0.03,,,30,140,2018,"Calendar Year (Jan - Dec), 2018"
2208,"BORPUKHURI,NAZIRA,ASSAM",POND,2018,ASSAM,18,32,4.3,7.2,6.3,8.4,20,38,1.3,3.1,0.1,3,2,360,300,730,2018,"Calendar Year (Jan - Dec), 2018"
2844,"LILONGPUKHURIATIMPHALWEST,MANIPUR",POND,2018,MANIPUR,18,31.7,5.8,11.8,7.1,8.4,116,1132,1.3,6.4,0.03,0.05,,,63,195,2018,"Calendar Year (Jan - Dec), 2018"
2845,"PONDATNGAIRANGBAM,IMPHALWEST,MANIPUR",POND,2018,MANIPUR,18,31,6,14.6,7,8.7,73,463,0.8,8.7,0.03,0.04,,,15,80,2018,"Calendar Year (Jan - Dec), 2018"
2846,"PONDATMOIDANGPOK,IMPHALWEST,MANIPUR",POND,2018,MANIPUR,19,30,5.3,14.4,7.1,8.2,78,443,0.4,7.3,0.03,0.04,,,5,50,2018,"Calendar Year (Jan - Dec), 2018"
2847,"PONDATMAIBAMLOKPACHING,IMPHALWEST,MANIPUR",POND,2018,MANIPUR,20,30,6.3,7.6,7.2,7.5,104,199,2.8,5.8,0.03,0.05,,,10,45,2018,"Calendar Year (Jan - Dec), 2018"
2848,"PONDATKAKWABAZAR,IMPHALWEST,MANIPUR",POND,2018,MANIPUR,19,30,5.5,7.1,6.9,7.5,221,502,2.6,5.4,0.03,0.04,,,20,115,2018,"Calendar Year (Jan - Dec), 2018"
2849,"CHANAMPUKHURI,IMPHALWEST,MANIPUR",POND,2018,MANIPUR,18,30.3,5.9,17.4,6.9,11,253,1353,2.4,6.3,0.03,0.04,,,70,155,2018,"Calendar Year (Jan - Dec), 2018"
2850,"NINGTHEMPUKHURI,IMPHALEAST,MANIPUR",POND,2018,MANIPUR,19,30,4.1,14.5,6.5,9.2,9,1389,0.4,8.2,0.04,0.04,,,70,200,2018,"Calendar Year (Jan - Dec), 2018"
2851,"PONDATKONGBABAZAR,IMPHALEAST,MANIPUR",POND,2018,MANIPUR,18,30,3,34,6.3,9.5,109,1389,0.3,19.6,0.04,0.05,,,75,200,2018,"Calendar Year (Jan - Dec), 2018"
1347,"UMIAMLAKEATBARAPANI,MEGHALAYA",LAKE,2018,MEGHALAYA,15,25,5,9.3,7.3,9.5,80,140,3.6,7,0.4,1.8,1400,2300,3100,4900,2018,"Calendar Year (Jan - Dec), 2018"
1348,"WARDLAKEATSHILONGEAST,KHASIHILLDT.,MEGHALA",LAKE,2018,MEGHALAYA,10,21,6.2,9,7.1,8,135,180,4,6,0.1,0.6,790,1700,2700,3900,2018,"Calendar Year (Jan - Dec), 2018"
1459,"THADLASKEINLAKE,MEGHALAYA",LAKE,2018,MEGHALAYA,11,22,6.2,8.2,6.7,7.3,40,59,1.4,2.2,0.3,0.8,14,24,70,130,2018,"Calendar Year (Jan - Dec), 2018"
3346,"UMIAMLAKEATOUTFALLOFUMIAMRIVERINTOLAKE,RI",LAKE,2018,MEGHALAYA,15,24,3,7.7,6.8,8.3,85,155,4.6,10,0.6,2,2000,2700,3600,5800,2018,"Calendar Year (Jan - Dec), 2018"
3347,"UMIAMLAKEATMIDDLEPOINT,RIBHOI",LAKE,2018,MEGHALAYA,14,24,4.6,11.5,7.2,9.8,81,125,4,8.6,0.5,1.5,1100,2300,2700,4300,2018,"Calendar Year (Jan - Dec), 2018"
3348,"UMIAMLAKEATNEARUNITEDCHRISTIANCOLLEGE,RIBH",LAKE,2018,MEGHALAYA,15,26,3,6.2,6.9,9.8,79,144,4.2,7.8,0.3,1,1300,2200,2400,4400,2018,"Calendar Year (Jan - Dec), 2018"
3349,"TASEKLAKEATSONGSAK(NAPHAK),EASTGAROHILLS",LAKE,2018,MEGHALAYA,15,30,6.3,7.5,6.8,7.4,58,85,1.4,2,0.3,0.4,24,36,84,210,2018,"Calendar Year (Jan - Dec), 2018"
2886,"PUDUMPUKHURI,DIMAPUR,NAGALAND",LAKE,2018,NAGALAND,22,36,2.5,7.4,6.5,8.5,54,173,2.4,8.8,0.1,0.8,,,,,2018,"Calendar Year (Jan - Dec), 2018"
2887,"BANGLAFISHERY,DIMAPUR,NAGALAND",LAKE,2018,NAGALAND,21.4,35.5,2.6,7.8,7,8.5,55,178,2,4.8,0.2,0.7,,,,,2018,"Calendar Year (Jan - Dec), 2018"
2437,CHILKALAKE(RAMSARSITE),LAKE,2018,ODISHA,24,32,5.1,8.1,7.4,8.3,1950,55320,1,2.7,0,2.1,2,9200,2,9200,2018,"Calendar Year (Jan - Dec), 2018"
2438,ANSHUPA,LAKE,2018,ODISHA,23,32,5.4,10,6.8,8.3,106,247,1,3.9,0,1.5,230,3500,20,9200,2018,"Calendar Year (Jan - Dec), 2018"
3954,TAMPADALAKEATCHHATRAPUR,LAKE,2018,ODISHA,12,25,4.5,12.5,7.3,8.5,323,934,4.4,16.9,0,5.1,40,3300,20,11000,2018,"Calendar Year (Jan - Dec), 2018"
3955,ANSHUPAATSUBARANAPUR,LAKE,2018,ODISHA,23,32,6.3,9.4,6.6,8.1,104,240,0.6,4.3,0.1,4.2,78,2400,20,2800,2018,"Calendar Year (Jan - Dec), 2018"
3956,ANSHUPAATBISHNUPUR,LAKE,2018,ODISHA,22,32,3.4,9.4,6.7,8.3,106,199,0.5,4.4,0.1,1.6,78,2400,20,5400,2018,"Calendar Year (Jan - Dec), 2018"
3957,ANSHUPAATSARAANDAGARH,LAKE,2018,ODISHA,23,32,4.8,11,6.9,8.2,105,206,0.8,4.8,0.1,2.4,93,3500,20,9200,2018,"Calendar Year (Jan - Dec), 2018"
2431,BINDUSAGAR(RELIGIOUSPONDOFBHUBANESWARCITY),POND,2018,ODISHA,19,31,3.5,7.7,7.1,8.4,387,477,1,4.9,0.3,3.8,260,160000,130,160000,2018,"Calendar Year (Jan - Dec), 2018"
4192,MBBCOLLAGELAKE,LAKE,2018,TRIPURA,24,28.5,7.1,7.8,7.2,7.9,122,212,0.8,2,0.4,0.6,110,150,220,280,2018,"Calendar Year (Jan - Dec), 2018"
2432,NARENDRAPOKHARI(RILIGIOUSPONDOFPURICITY),POND,2018,ODISHA,22,30,5,13.4,8,9.1,642,1007,3.8,9.5,0.1,3.8,2,16000,2,16000,2018,"Calendar Year (Jan - Dec), 2018"
2433,MARKANDAPOKHARI(RILIGIOUSPONDOFPURICITY),POND,2018,ODISHA,22,30,4.7,18.3,7.3,9,608,1517,3.6,8.1,3.2,15.6,2,16000,2,16000,2018,"Calendar Year (Jan - Dec), 2018"
2434,INDRADYUMNATANK(RILIGIOUSPONDOFPURICITY),POND,2018,ODISHA,20,31,3.3,9.8,7.6,8.8,332,701,3.2,7,0.1,2.3,270,16000,78,54000,2018,"Calendar Year (Jan - Dec), 2018"
2435,SWETAGANGA(RILIGIOUSPONDOFPURICITY),POND,2018,ODISHA,20,30,1.6,12.9,6.6,9,528,1266,4.1,16.4,0.6,7.8,790,16000,330,16000,2018,"Calendar Year (Jan - Dec), 2018"
2436,PARVATISAGAR(RILIGIOUSPONDOFPURICITY),POND,2018,ODISHA,24,32,4.8,14.8,6.6,8.9,249,683,3.1,17.8,0.1,1.9,130,16000,20,16000,2018,"Calendar Year (Jan - Dec), 2018"
3962,JAGANNATHSAGARPONDOFJEYPORE,POND,2018,ODISHA,16,32,6.5,7.6,6.8,8.5,93,639,0.7,2.8,0.1,2.5,45,2500,20,4300,2018,"Calendar Year (Jan - Dec), 2018"
